season,ATL,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2017,51,41,73,51,53,74,80,59,81,59,39,36,41,56,79,77,53,51,60,37,52,62,61,64,93,44,87,84,51,82
2016,68,79,80,46,83,50,71,75,67,65,62,80,62,75,50,47,84,37,48,37,53,56,50,68,85,47,69,84,70,77
2015,87,85,51,90,84,55,70,50,95,85,62,61,46,65,65,79,67,57,79,42,93,76,63,53,47,52,69,62,77,75
2014,88,50,61,64,39,38,62,57,80,48,75,83,44,85,50,67,43,62,66,39,66,52,29,81,80,70,98,82,61,72
2013,53,59,64,69,60,48,62,59,71,77,77,66,43,65,91,24,59,45,61,73,89,81,37,46,65,53,83,68,62,77
2012,52,53,49,63,55,39,82,71,52,32,73,55,49,70,82,79,54,54,41,54,80,26,63,41,57,81,95,55,73,47
2011,72,65,57,93,64,71,64,69,47,73,72,52,79,72,79,58,73,54,48,47,93,84,90,70,59,58,79,78,77,69
2010,88,76,70,49,58,79,72,80,53,77,77,38,85,80,45,62,40,34,45,34,91,64,75,61,78,61,82,59,50,47
2009,80,79,59,72,71,63,76,48,58,64,64,66,87,60,78,42,46,69,58,78,76,61,73,85,70,58,61,38,86,59
2008,79,94,52,73,78,91,66,81,56,74,52,23,95,49,57,47,58,41,77,61,58,64,80,63,72,66,77,78,92,74
2007,76,50,66,76,78,75,95,79,91,76,80,63,78,63,52,60,36,75,78,76,56,69,75,76,74,67,87,71,88,89
2006,72,75,72,65,92,77,66,81,67,75,57,82,79,72,92,53,73,72,55,84,91,92,72,95,52,85,84,37,74,81
2005,50,72,66,82,63,82,84,90,88,54,76,54,70,63,49,38,56,86,47,43,82,83,86,41,61,62,82,54,66,66
2004,11,67,,46,55,51,64,81,72,31,75,63,27,91,50,65,86,43,35,66,84,11,71,59,69,63,76,66,54,74
2003,52,50,,49,44,49,38,78,45,70,84,63,62,68,44,50,27,95,76,52,84,42,65,75,77,69,62,38,58,65
2002,74,78,,69,55,86,38,64,85,69,92,66,93,61,66,69,68,89,,92,76,68,54,73,81,81,81,67,62,61
2001,61,79,79,45,62,70,66,63,72,70,73,81,79,27,51,81,79,41,,80,70,78,51,53,71,83,59,90,76,67
2000,64,65,55,47,41,67,70,40,62,88,84,54,72,70,45,75,73,61,,76,79,56,90,63,81,71,75,64,66,68
1999,45,68,67,28,67,85,57,77,51,35,98,61,69,52,81,83,87,86,,94,44,33,84,56,63,76,83,72,79,63
1998,68,61,36,58,78,67,41,83,58,47,92,65,66,52,77,60,50,59,,69,69,70,54,62,83,29,71,58,91,63
1997,86,37,58,92,19,67,28,65,39,95,86,71,83,63,84,51,80,63,,80,62,63,48,66,64,54,59,67,98,84
1996,50,69,51,97,87,26,55,84,68,46,81,78,49,39,56,54,59,42,,49,78,62,53,59,52,87,75,50,92,59
1995,78,66,45,81,73,86,79,68,54,79,81,62,86,,38,63,53,67,,89,75,87,35,68,77,68,80,,80,53
1994,53,49,82,80,77,70,77,44,41,78,82,42,74,,54,53,51,87,,97,90,76,53,70,88,76,54,,76,59
1993,71,77,66,57,78,48,82,44,74,84,61,72,68,,99,72,68,45,,86,72,76,45,77,84,76,72,,66,64
1992,73,82,73,86,88,63,66,66,66,75,77,58,82,,83,39,34,75,,60,88,62,51,56,73,77,54,,80,65
1991,50,77,74,96,79,62,60,79,76,88,92,77,77,,85,78,83,86,,68,94,74,84,95,94,54,72,,80,55
1990,87,75,64,89,73,74,41,97,83,73,89,83,74,,74,69,79,56,,89,70,76,58,78,88,20,70,,83,67
1989,73,89,56,83,72,96,81,95,62,66,84,75,83,,59,69,,54,,95,77,,69,83,64,75,27,,84,88
1988,68,74,,77,90,82,73,92,71,48,73,57,89,,,87,,41,,73,78,,60,69,82,49,43,,83,79
1987,99,79,,71,77,98,76,95,52,67,84,69,96,,,88,,46,,60,81,,66,57,84,68,70,,92,66
1986,90,90,,66,40,89,82,62,79,81,63,60,86,,,69,,43,,73,41,,46,74,80,76,62,,73,45
1985,77,80,,44,81,79,95,81,60,97,58,62,83,,,91,,91,,68,80,,82,79,82,81,51,,78,69
1984,71,97,,72,68,81,53,84,66,55,60,55,98,,,61,,82,,62,62,,82,73,60,87,73,,85,65
1983,78,85,,71,62,85,86,93,80,42,58,42,82,,,80,,86,,76,54,,88,81,92,63,68,,86,76
1982,73,89,,52,59,70,75,82,68,44,63,42,87,,,67,,73,,37,86,,66,73,56,73,64,,64,82
1981,73,95,,89,35,34,100,50,83,84,75,56,83,,,84,,36,,61,70,,94,89,79,44,64,,85,48
1980,82,79,,70,47,,51,57,33,85,76,56,85,,,80,,50,,76,72,,87,78,69,73,57,,50,78
1979,92,65,,45,48,,63,41,95,66,56,73,61,,,60,,51,,61,95,,88,88,62,76,65,,11,80
1978,69,48,,65,81,,55,60,56,81,48,26,84,,,91,,74,,66,79,,69,83,69,65,98,,74,97
1977,47,73,,79,87,,52,70,75,81,38,34,36,,,61,,29,,71,33,,98,55,85,59,90,,67,75
1976,43,69,,50,93,,,63,87,65,,54,62,,,61,,,,54,61,,58,70,47,44,,,85,69
1975,83,79,,72,90,,,79,86,81,,83,50,,,46,,,,77,61,,71,44,72,79,,,76,82
1974,38,91,,64,66,,,87,63,92,,85,57,,,61,,,,93,50,,63,54,77,81,,,,81
1973,79,98,,96,84,,,91,84,74,,40,66,,,87,,,,98,74,,59,64,66,59,,,,82
1972,89,84,,82,53,,,59,75,46,,65,79,,,81,,,,94,55,,26,84,48,72,,,,72
1971,50,99,,73,56,,,75,72,65,,53,85,,,73,,,,68,97,,50,81,62,55,,,,46
1970,70,72,,75,,,,82,92,61,,,71,,,62,,,,93,56,,75,66,,44,,,,86
1969,79,80,,67,,,,81,76,88,,,60,,,61,,,,92,55,,82,46,,53,,,,85
1968,83,88,,73,,,,66,89,66,,,54,,,,,,,84,47,,72,,,88,,,,77
1967,91,89,,77,,,,67,80,,,,87,,,,,,,81,,,98,,,78,,,,77
1966,82,80,,,,,,74,74,,,,65,,,,,,,84,,,87,,,79,,,,65
1965,79,88,,,,,,56,74,,,,84,,,,,,,44,,,73,,,91,,,,56
1964,90,91,,,,,,61,76,,,,86,,,,,,,51,,,75,,,95,,,,51
1963,87,90,,,,,,77,84,,,,86,,,,,,,45,,,91,,,76,,,,53
1962,44,84,,,,,,81,63,,,,69,,,,,,,54,,,81,,,86,,,,47
1961,73,94,,,,,,86,80,,,,97,,,,,,,74,,,81,,,84,,,,
