team_name,continuity,wins,season
ATL,27,27,1952
BOS,95,46,1952
DET,64,36,1952
GSW,58,12,1952
LAL,94,48,1952
NYK,84,47,1952
PHI,83,47,1952
SAC,86,44,1952
ATL,28,21,1953
BOS,81,42,1953
DET,57,40,1953
GSW,35,29,1953
LAL,87,46,1953
NYK,81,44,1953
PHI,77,42,1953
SAC,96,44,1953
ATL,47,26,1954
BOS,76,36,1954
DET,85,43,1954
GSW,68,33,1954
LAL,89,40,1954
NYK,71,38,1954
PHI,68,43,1954
SAC,78,29,1954
ATL,54,33,1955
BOS,66,39,1955
DET,65,37,1955
GSW,78,45,1955
LAL,83,33,1955
NYK,79,35,1955
PHI,92,35,1955
SAC,33,31,1955
ATL,58,34,1956
BOS,61,44,1956
DET,64,34,1956
GSW,84,37,1956
LAL,71,34,1956
NYK,71,36,1956
PHI,68,38,1956
SAC,67,31,1956
ATL,89,41,1957
BOS,97,49,1957
DET,44,33,1957
GSW,70,37,1957
LAL,44,19,1957
NYK,75,35,1957
PHI,84,41,1957
SAC,54,33,1957
ATL,76,49,1958
BOS,89,52,1958
DET,75,28,1958
GSW,79,32,1958
LAL,72,33,1958
NYK,79,40,1958
PHI,82,35,1958
SAC,26,19,1958
ATL,76,46,1959
BOS,93,59,1959
DET,73,30,1959
GSW,80,49,1959
LAL,66,25,1959
NYK,77,27,1959
PHI,89,45,1959
SAC,67,19,1959
ATL,78,51,1960
BOS,94,57,1960
DET,63,34,1960
GSW,85,46,1960
LAL,82,36,1960
NYK,74,21,1960
PHI,79,38,1960
SAC,63,33,1960
ATL,73,29,1961
BOS,94,60,1961
DET,86,37,1961
GSW,80,49,1961
LAL,97,54,1961
NYK,74,29,1961
PHI,81,41,1961
SAC,84,43,1961
ATL,44,48,1962
BOS,84,58,1962
DET,81,34,1962
GSW,63,31,1962
LAL,69,53,1962
NYK,54,21,1962
PHI,81,48,1962
SAC,86,42,1962
WAS,47,25,1962
ATL,87,46,1963
BOS,90,59,1963
DET,77,23,1963
GSW,84,48,1963
LAL,86,42,1963
NYK,45,22,1963
PHI,91,34,1963
SAC,76,55,1963
WAS,53,31,1963
ATL,90,45,1964
BOS,91,62,1964
DET,61,31,1964
GSW,76,17,1964
LAL,86,49,1964
NYK,51,31,1964
PHI,75,40,1964
SAC,95,48,1964
WAS,51,37,1964
ATL,79,36,1965
BOS,88,54,1965
DET,56,22,1965
GSW,74,35,1965
LAL,84,45,1965
NYK,44,30,1965
PHI,73,55,1965
SAC,91,45,1965
WAS,56,38,1965
ATL,82,39,1966
BOS,80,60,1966
DET,74,30,1966
GSW,74,44,1966
LAL,65,36,1966
NYK,84,36,1966
PHI,87,68,1966
SAC,79,39,1966
WAS,65,20,1966
ATL,91,56,1967
BOS,89,54,1967
CHI,77,29,1967
DET,67,40,1967
GSW,80,43,1967
LAL,87,52,1967
NYK,81,43,1967
PHI,98,62,1967
SAC,78,39,1967
WAS,77,36,1967
ATL,83,48,1968
BOS,88,48,1968
CHI,73,33,1968
DET,66,32,1968
GSW,89,41,1968
HOU,66,37,1968
LAL,54,55,1968
NYK,84,54,1968
OKC,47,30,1968
PHI,72,55,1968
SAC,88,41,1968
WAS,77,57,1968
ATL,79,48,1969
BOS,80,34,1969
CHI,67,39,1969
DET,81,31,1969
GSW,76,30,1969
HOU,88,27,1969
LAL,60,46,1969
MIL,61,56,1969
NYK,92,60,1969
OKC,55,36,1969
PHI,82,42,1969
PHO,46,39,1969
SAC,53,36,1969
WAS,85,50,1969
ATL,70,36,1970
BOS,72,44,1970
CHI,75,51,1970
DET,82,45,1970
GSW,92,41,1970
HOU,61,40,1970
LAL,71,48,1970
MIL,62,66,1970
NYK,93,52,1970
OKC,56,38,1970
PHI,75,47,1970
PHO,66,48,1970
SAC,44,33,1970
WAS,86,42,1970
ATL,50,36,1971
BOS,99,56,1971
CHI,73,57,1971
CLE,56,23,1971
DET,75,26,1971
GSW,72,51,1971
HOU,65,34,1971
LAC,53,22,1971
LAL,85,69,1971
MIL,73,63,1971
NYK,68,48,1971
OKC,97,47,1971
PHI,50,30,1971
PHO,81,49,1971
POR,62,18,1971
SAC,55,30,1971
WAS,46,38,1971
ATL,89,46,1972
BOS,84,68,1972
CHI,82,51,1972
CLE,53,32,1972
DET,59,40,1972
GSW,75,47,1972
HOU,46,33,1972
LAC,65,21,1972
LAL,79,60,1972
MIL,81,60,1972
NYK,94,57,1972
OKC,55,26,1972
PHI,26,9,1972
PHO,84,38,1972
POR,48,21,1972
SAC,72,36,1972
WAS,72,52,1972
ATL,79,35,1973
BOS,98,56,1973
CHI,96,54,1973
CLE,84,29,1973
DET,91,52,1973
GSW,84,44,1973
HOU,74,32,1973
LAC,40,42,1973
LAL,66,47,1973
MIL,87,59,1973
NYK,98,49,1973
OKC,74,36,1973
PHI,59,25,1973
PHO,64,30,1973
POR,66,27,1973
SAC,59,33,1973
WAS,82,47,1973
ATL,38,31,1974
BOS,91,60,1974
CHI,64,47,1974
CLE,66,40,1974
DET,87,40,1974
GSW,63,48,1974
HOU,92,41,1974
LAC,85,49,1974
LAL,57,30,1974
MIL,61,38,1974
NYK,93,40,1974
OKC,50,43,1974
PHI,63,34,1974
PHO,54,32,1974
POR,77,38,1974
SAC,81,44,1974
WAS,81,60,1974
ATL,83,29,1975
BOS,79,54,1975
CHI,72,24,1975
CLE,90,49,1975
DET,79,36,1975
GSW,86,59,1975
HOU,81,40,1975
LAC,83,46,1975
LAL,50,40,1975
MIL,46,38,1975
NYK,77,38,1975
OKC,61,43,1975
PHI,71,46,1975
PHO,44,42,1975
POR,72,37,1975
SAC,79,31,1975
UTA,76,38,1975
WAS,82,48,1975
ATL,43,31,1976
BOS,69,44,1976
CHI,50,44,1976
CLE,93,43,1976
DET,63,44,1976
GSW,87,46,1976
HOU,65,49,1976
LAC,54,30,1976
LAL,62,53,1976
MIL,61,30,1976
NYK,54,40,1976
OKC,61,40,1976
PHI,58,50,1976
PHO,70,34,1976
POR,47,49,1976
SAC,44,40,1976
UTA,85,35,1976
WAS,69,48,1976
ATL,47,41,1977
BOS,73,32,1977
CHI,79,40,1977
CLE,87,43,1977
DEN,52,48,1977
DET,70,38,1977
GSW,75,43,1977
HOU,81,28,1977
IND,38,31,1977
LAC,34,27,1977
LAL,36,45,1977
MIL,61,44,1977
NJN,29,24,1977
NYK,71,43,1977
OKC,33,47,1977
PHI,98,55,1977
PHO,55,49,1977
POR,85,58,1977
SAC,59,31,1977
SAS,90,52,1977
UTA,67,39,1977
WAS,75,44,1977
ATL,69,46,1978
BOS,48,29,1978
CHI,65,31,1978
CLE,81,30,1978
DEN,55,47,1978
DET,60,30,1978
GSW,56,38,1978
HOU,81,47,1978
IND,48,38,1978
LAC,26,43,1978
LAL,84,47,1978
MIL,91,38,1978
NJN,74,37,1978
NYK,66,31,1978
OKC,79,52,1978
PHI,69,47,1978
PHO,83,50,1978
POR,69,45,1978
SAC,65,48,1978
SAS,98,48,1978
UTA,74,26,1978
WAS,97,54,1978
ATL,92,50,1979
BOS,65,61,1979
CHI,45,30,1979
CLE,48,37,1979
DEN,63,30,1979
DET,41,16,1979
GSW,95,24,1979
HOU,66,41,1979
IND,56,37,1979
LAC,73,35,1979
LAL,61,60,1979
MIL,60,49,1979
NJN,51,34,1979
NYK,61,39,1979
OKC,95,56,1979
PHI,88,59,1979
PHO,88,55,1979
POR,62,38,1979
SAC,76,47,1979
SAS,65,41,1979
UTA,11,24,1979
WAS,80,39,1979
ATL,82,31,1980
BOS,79,62,1980
CHI,70,45,1980
CLE,47,28,1980
DEN,51,37,1980
DET,57,21,1980
GSW,33,39,1980
HOU,85,40,1980
IND,76,44,1980
LAC,56,36,1980
LAL,85,54,1980
MIL,80,60,1980
NJN,50,24,1980
NYK,76,50,1980
OKC,72,34,1980
PHI,87,62,1980
PHO,78,57,1980
POR,69,45,1980
SAC,73,40,1980
SAS,57,52,1980
UTA,50,28,1980
WAS,78,39,1980
ATL,73,42,1981
BOS,95,63,1981
CHI,89,34,1981
CLE,35,15,1981
DAL,34,28,1981
DEN,100,46,1981
DET,50,39,1981
GSW,83,45,1981
HOU,84,46,1981
IND,75,35,1981
LAC,56,17,1981
LAL,83,57,1981
MIL,84,55,1981
NJN,36,44,1981
NYK,61,33,1981
OKC,70,52,1981
PHI,94,58,1981
PHO,89,46,1981
POR,79,42,1981
SAC,44,30,1981
SAS,64,48,1981
UTA,85,25,1981
WAS,48,43,1981
ATL,73,43,1982
BOS,89,56,1982
CHI,52,28,1982
