title,x_coord,y_coord,abstract,url,connections,dictionary_definition_tag
Abduction,0.7621743679046631,0.8044182062149048,"

In the philosophical literature, the term “abduction” is
used in two related but different senses. In both senses, the term
refers to some form of explanatory reasoning. However, in the
historically first sense, it refers to the place of explanatory
reasoning in generating hypotheses, while in the sense in
which it is used most frequently in the modern literature it refers to
the place of explanatory reasoning in justifying hypotheses.
In the latter sense, abduction is also often called “Inference
to the Best Explanation.”

This entry is exclusively concerned with abduction in the modern
sense, although there is a supplement on abduction in the historical
sense, which had its origin in the work of Charles Sanders
Peirce—see the

Supplement: Peirce on Abduction.
 

See also the entry on
 scientific discovery,
 in particular the section on discovery as abduction.

Most philosophers agree that abduction (in the sense of Inference to
the Best Explanation) is a type of inference that is frequently
employed, in some form or other, both in everyday and in scientific
reasoning. However, the exact form as well as the normative status of
abduction are still matters of controversy. This entry contrasts
abduction with other types of inference; points at prominent uses of
it, both in and outside philosophy; considers various more or less
precise statements of it; discusses its normative status; and
highlights possible connections between abduction and Bayesian
confirmation theory. 
",https://plato.stanford.edu/entries/abduction/,['https://plato.stanford.edu/entries/scientific-discovery/'],None
Peter Abelard,0.6542271971702576,0.2037860006093979,"

Peter Abelard (1079–21 April 1142) [‘Abailard’ or
‘Abaelard’ or ‘Habalaarz’ and so on] was the
pre-eminent philosopher and theologian of the twelfth century. The
teacher of his generation, he was also famous as a poet and a
musician. Prior to the recovery of Aristotle, he brought the native
Latin tradition in philosophy to its highest pitch. His genius was
evident in all he did. He is, arguably, the greatest logician of the
Middle Ages and is equally famous as the first great nominalist
philosopher. He championed the use of reason in matters of faith (he
was the first to use ‘theology’ in its modern sense), and
his systematic treatment of religious doctrines are as remarkable for
their philosophical penetration and subtlety as they are for their
audacity. Abelard seemed larger than life to his contemporaries: his
quick wit, sharp tongue, perfect memory, and boundless arrogance made
him unbeatable in debate—he was said by supporter and detractor
alike never to have lost an argument—and the force of his
personality impressed itself vividly on all with whom he came into
contact. His luckless affair with Héloïse made him a
tragic figure of romance, and his conflict with Bernard of Clairvaux
over reason and religion made him the hero of the Enlightenment. For
all his colourful life, though, his philosophical achievements are the
cornerstone of his fame.
",https://plato.stanford.edu/entries/abelard/,,None
Abhidharma,0.7309630513191223,0.3510562777519226,"


The first centuries after Śākyamuni Buddha’s death
saw the rise of multiple schools of thought and teacher lineages within
the Buddhist community as it spread throughout the Indian subcontinent.
These new forms of scholarly monastic communities had distinct
theoretical and practical interests and, in their efforts to organize,
interpret, and reexamine the Buddha’s scattered teachings, they
developed a particular system of thought and method of exposition
called Abhidharma (Pali, Abhidhamma). The Sanskrit term
abhidharma seems to derive from the expression
“concerning (abhi) the teaching(s) (Skt.,
dharma, Pali, dhamma).” For the Buddhist
exegetical tradition, however, the term means approximately
“higher” or “further” teaching, and it refers
both to the doctrinal investigations of the new scholastic movement and
to the body of texts yielded by its systematic exposition of Buddhist
thought. This body of literature includes the third of the “three
baskets” (Skt., tripiṭaka, Pali,
tipiṭaka) of the Buddhist canon, namely, the
Abhidharma-piṭaka (Pali,
Abhidhamma-piṭaka), its commentaries, and later
exegetical texts.


Both as an independent literary genre and a branch of thought and
inquiry, Abhidharma is to be contrasted with Sūtrānta, the
system of the Buddha’s discourses (Skt., sūtras,
Pali, suttas). Unlike the earlier Buddhist discourses that are
colloquial in nature, the Abhidharma method presents the Buddha’s
teachings in technical terms that are carefully defined to ensure
analytical exactitude. In content, Abhidharma is distinctive in its
efforts to provide the theoretical counterpart to the Buddhist practice
of meditation and, more broadly, a systematic account of sentient
experience. It does so by analyzing conscious experience—and in
this sense one’s “world”—into its constituent
mental and physical events (Skt., dharmā, Pali,
dhammā, hereafter dharmas/dhammas respectively).
The overarching inquiry subsuming both the analysis of dharmas
into multiple categories and their synthesis into a unified structure
by means of their manifold relationships of causal conditioning is
referred to as the “dharma theory.” The exhaustive
investigations into the nature and interaction of dharmas
extended into the fields of metaphysics, epistemology, and ontology,
and generated doctrinal controversies among different Buddhist schools.
The Abhidharma analysis of and methods of argumentation about these
controversies provided the framework of reference and defined the
agenda for the Mahāyāna schools of Madhyamaka and
Yogācāra. As a distinct doctrinal movement, then, Abhidharma
had a remarkable impact on subsequent Buddhist thought and gave rise to
Buddhist systematic philosophy and hermeneutics.
",https://plato.stanford.edu/entries/abhidharma/,,Knowledge
Abilities,0.5875151753425598,0.7765862941741943,"


In the accounts we give of one another, claims about our
abilities appear to be indispensable.  Some abilities are so
widespread that many who have them take them for granted, such as the
ability to walk, or to write one's name, or to tell a hawk from a
handsaw.  Others are comparatively rare and notable, such as the
ability to hit a Major League fastball, or to compose a symphony, or
to tell an elm from a beech. In either case, however, when we ascribe
such abilities to one another we have the impression that we are
making claims that, whether they are worth saying or not, are at least
sometimes true. The impression of truth exerts a pressure towards
giving a philosophical theory of ability. It is not an option, at
least at the outset, to dismiss all our talk of ability as fiction or
outright falsehood. A theory of ability can be reasonably expected to
say what it is to have an ability in a way that vindicates the
appearance of truth. Such a theory will deserve the name
‘philosophical’ insofar as it gives an account, not of
this or that range of abilities, but of abilities generally.


This article falls into three parts. The first part, Sections 1 and 2,
states a framework for discussing philosophical theories of
ability. Section 1 will say more about the distinction between
abilities and other modal aspects of people and things. Section 2 will
articulate constraints on a satisfactory theory. The second part,
Sections 3 and 4, surveys theories of ability that have been defended
in the philosophical literature. Section 3 concerns the most prominent
kind of theory, on which abilities are to be understood in terms of a
hypothetical relating an agent's actions to her volitions. Section 4
considers views of ability that are not hypothetical in this way. The
third part, Section 5, turns to the relationship between a theory of
ability and the free will debates. Such debates often involve claims
about agents' abilities, and many have hoped that getting clearer on
abilities themselves could resolve, or at least shed light on, such
debates. The aim of this last section will be to assess whether these
hopes are reasonable ones.
",https://plato.stanford.edu/entries/abilities/,['https://plato.stanford.edu/entries/knowledge-how/'],Knowledge
Abner of Burgos,0.5344177484512329,0.12947823107242584,"

Abner of Burgos (Alfonso de Valladolid; c. 1260–1347) was
perhaps the most important philosopher in the stream of Jewish Spanish
rabbi-apostates in the 14th and 15th centuries.
In the first part of his life, Abner was an Aristotelian Jewish
philosopher. However, at the age of 60 (if Pablo de Santa Maria is a
reliable source) after years of hesitation, he became a Neo-Platonic
Christian, making him one of the very few philosophers (much less
philosopher-rabbis) to change his philosophical opinion (and religion)
during the Middle Ages. The majorities of his works are primarily
polemical, and try to convince his former fellow Jews to become
Christian, as he did. However, in his polemical writings, Abner built
an original philosophical critique of both traditional Judaism and the
Aristotelian (and Maimonidean) philosophical interpretation of
Judaism. Another part of his philosophical aim was a very radical
interpretation of Christianity aimed at convincing his Jewish audience
that his Christianity was superior to traditional and philosophical
Judaism. Abner was one of the first philosophical and scientific
critics of Aristotle, as well as one of the more radical Neo-Platonic
thinkers of Christianity during the Middle Ages. His works had a very
important impact on Jewish philosophy at the latter end of the Middle
Ages, and some of his opinions influenced, through Rabbi Hasdai
Crescas, general Western philosophy.
",https://plato.stanford.edu/entries/abner-burgos/,,None
Judah Abrabanel,0.5681220889091492,0.4333794713020325,"


Judah Abrabanel (ca. 1465–after 1521), also known as Leone Ebreo, is
an important transitional figure in the history of Jewish
philosophy. Common to any transitional figure, however, is the problem
of contextualization. In the case of Judah Abrabanel, do we regard him
as the last of the medieval Jewish philosophers or the first of the
early modern ones?  His work, for example, is certainly in
conversation with a number of themes found in Renaissance Platonism
and Humanism. Yet at the same time he freely draws upon the cosmology
and metaphysics of his Jewish and Islamic predecessors.


Abrabanel’s magnum opus, the Dialoghi d’amore
(“Dialogues of Love”) belongs to the genre of the
trattato d’amore (“treatise on love”) that was
intimately connected to both the Renaissance and the development of
the Italian vernacular. Although Abrabanel’s dialogue provides one of
the genre’s most important philosophical discussions in this, it
nonetheless is confined to its literary and stylized form. The work
itself consists of three dialogues, with the third one providing the
longest and most sustained philosophical discussion. Some contend that
Abrabanel originally composed an introduction to the work and a fourth
dialogue, neither of which
 survives.[1] 
 In essence, the Dialoghi offers the transcript of a
conversation between two individuals, Philo and Sophia, two courtiers,
who discourse on the nature of love as both a sensual and cosmic
principle.  Philo, the male character, is portrayed as an
accomplished philosopher, and Sophia, the female character, as a
student of philosophy.  Despite this, Sophia is not just a
convenient textual strategy, but becomes a character in her own right,
someone who significantly contributes to the philosophical unfolding
of the work. Moreover, many of the dialogic exchanges that take place
between Philo and Sophia are very playful, with Philo, on one level,
either answering Sophia’s questions about love or responding to
her criticisms; yet, on another level, he physically desires Sophia
and wishes to consummate this desire. Philo’s desire for Sophia,
thus, reflects the same desire of God (the superior) for the world
(the inferior). As a Renaissance artist, then, Abrabanel cleverly and
artfully weaves the philosophical principles of love, beauty, and
desire into the very literary structure of his Dialoghi.
",https://plato.stanford.edu/entries/abrabanel/,,Reality
Abstract Objects,0.7815978527069092,0.5599793791770935,"

It is widely supposed that every entity falls into one of two
categories: Some are concrete; the rest abstract. The distinction is
supposed to be of fundamental significance for metaphysics and
epistemology. This article surveys a number of recent attempts to say
how it should be drawn.

",https://plato.stanford.edu/entries/abstract-objects/,"['https://plato.stanford.edu/entries/nominalism-metaphysics/', 'https://plato.stanford.edu/entries/platonism/', 'https://plato.stanford.edu/entries/fiction/', 'https://plato.stanford.edu/entries/physicalism/', 'https://plato.stanford.edu/entries/analytic-synthetic/', 'https://plato.stanford.edu/entries/types-tokens/']",Knowledge
Essential vs. Accidental Properties,0.7973182797431946,0.5471182465553284,"

The distinction between essential versus accidental
properties has been characterized in various ways, but it is
currently most commonly understood in modal terms: an essential
property of an object is a property that it must have, while an
accidental property of an object is one that it happens to
have but that it could lack. Let’s call this the basic modal
characterization, where a modal characterization of a
notion is one that explains the notion in terms of
necessity/possibility. In the characterization just given of the
distinction between essential and accidental properties, the use of
the word “must” reflects the fact that
necessity is invoked, while the use of the word
“could” reflects that possibility is
invoked. The notions of necessity and possibility are interdefinable:
to say that something is necessary is to say that its negation is not
possible; to say that something is possible is to say that its
negation is not necessary; to say that an object must have a certain
property is to say that it could not lack it; and to say that an
object could have a certain property is to say that it is not the case
that it must lack it.

Many would say that each individual human could not fail to be human;
if so, then the basic modal characterization counts the property of
being human as an essential property of each human. And, too, many
would say that although someone, say Socrates, is in fact fond of
dogs, Socrates could have lacked that property; if that is right, then
the basic modal characterization counts the property of being fond of
dogs as an accidental property of Socrates.

A modal characterization of the distinction between essential and
accidental properties is taken for granted in nearly all work in
analytic metaphysics since the 1950s. Advocates of the modal
characterization have included Ruth Barcan Marcus (1967) and Saul
Kripke (1972/1980), among others. However, some other
characterizations of the distinction (see §2) have recently
gained currency. It is worth stressing here at the outset that
although there is now some disagreement about how the distinction
between essential and accidental properties is to be drawn, there is
nevertheless some agreement about cases. Most would agree that however
the distinction is drawn, it should come out that being human (or
being human if existent) is an essential property of Socrates while
being fond of dogs is a merely accidental property of Socrates.

Essentialism in general may be characterized as the doctrine
that (at least some) objects have (at least some) essential
properties. This characterization is not universally accepted (see
§3), but no characterization is; and at least this one has the
virtue of being simple and straightforward. As for specific
essentialist claims, we have already encountered one—the claim
that the property of being human is essential to Socrates. Another
example is the claim that Socrates’s biological
origin—Socrates’s parents, or more particularly, the sperm
and egg from which Socrates arose—is essential to Socrates. The
first example is a brand of sortal essentialism while the
second is a brand of origin essentialism. Both of these kinds
of essentialisms have figured prominently in the philosophical
literature.
",https://plato.stanford.edu/entries/essential-accidental/,"['https://plato.stanford.edu/entries/logical-truth/', 'https://plato.stanford.edu/entries/aristotle-metaphysics/', 'https://plato.stanford.edu/entries/modality-epistemology/']",Existence
Action,0.5691413283348083,0.8095797300338745,"


If a person's head moves, she may or may not have moved her head,
and, if she did move it, she may have actively performed the movement
of her head or merely, by doing something else, caused a passive
movement. And, if she performed the movement, she might have done so
intentionally or not. This short array of contrasts (and others like
them) has motivated questions about the nature, variety, and identity
of action. Beyond the matter of her moving, when the person moves her
head, she may be indicating agreement or shaking an insect off her ear.
Should we think of the consequences, conventional or causal, of
physical behavior as constituents of an action distinct from but
‘generated by’ the movement? Or should we think that there
is a single action describable in a host of ways? Also, actions, in
even the most minimal sense, seem to be essentially
‘active’. But how can we explain what this property
amounts to and defend our wavering intuitions about which events fall
in the category of the ‘active’ and which do not?


Donald Davidson [1980, essay 3] asserted that an action, in some
basic sense, is something an agent does that was ‘intentional
under some description,’ and many other philosophers have agreed
with him that there is a conceptual tie between genuine action, on the
one hand, and intention, on the other. However, it is tricky to
explicate the purported tie between the two concepts. First, the
concept of ‘intention’ has various conceptual inflections
whose connections to one another are not at all easy to delineate, and
there have been many attempts to map the relations between intentions
for the future, acting intentionally, and acting with a certain
intention. Second, the notion that human behavior is often intentional
under one description but not under another is itself hard to pin down.
For example, as Davidson pointed out, an agent may intentionally cause
himself to trip, and the activity that caused the tripping may have
been intentional under that description while, presumably, the foreseen
but involuntary tripping behavior that it caused is not supposed to be
intentional under any heading. Nevertheless, both the tripping and its
active cause are required to make it true that the agent intentionally
caused himself to trip. Both occurrences fall equally, in that sense,
‘under’ the operative description. So further clarification
is called for.


There has been a notable or notorious debate about whether the agent's
reasons in acting are causes of the action — a longstanding
debate about the character of our common sense explanations of
actions.  Some philosophers have maintained that we explain why an
agent acted as he did when we explicate how the agent's normative
reasons rendered the action intelligible in his eyes. Others have
stressed that the concept of ‘an intention with which a person
acted’ has a teleological dimension that does not, in their
view, reduce to the concept of ‘causal guidance by the agent's
reasons.’ But the view that reason explanations are somehow
causal explanations remains the dominant position. Finally, recent
discussions have revived interest in important questions about the
nature of intention and its distinctiveness as a mental state, and
about the norms governing rational intending.
",https://plato.stanford.edu/entries/action/,,None
Shared Agency,0.571143388748169,0.8261284828186035,"

Sometimes individuals act together, and sometimes they act
independently of one another. It’s a distinction that matters. You
are likely to make more headway in a difficult task working with
others; and even if little progress is made, there’s at least the
comfort and solidarity that comes with a collective undertaking. Or,
to take a very different perspective, the realization (or delusion)
that the many bits of rudeness one has been suffering of late are part
of a concerted effort can be of significance in identifying
what one is up against: the accumulation of grievances (no doubt well
catalogued) is seen, not as an unfortunate coincidence of affronts
stemming from various quarters, but as itself a product of a unified
exercise of agency. A paranoid conspiracy theorist is not usually to
be taken seriously. But he does get right that it certainly would be
awful, for example, if everyone were out to get him and were
working together to do so.

Shared agency also has important normative implications. Institutions
or laws established by everyone acting together have a status
different from those that are, for example, imposed on a people by the
dictates of one. And the nature of justification, be it epistemic or
practical, might depend on whether it figures in the context of a
shared enterprise. No wonder, then, that shared activity and intention
is of interest for a variety of disciplines, including politics,
social science, economics, ethics, law, epistemology (especially
testimony and social epistemology), and psychology.

But what is it to act together? The question has received sustained
discussion in contemporary philosophy of action. Central concerns have
been to explicate the distinctive features of shared agency, and to
investigate the possibility and scope of reduction: can shared agency
be understood in terms of the resources available to us from the study
of individual agency? This entry will focus on some issues most
closely related to the philosophy of action. See the entry on
collective intentionality for a broader discussion. 
",https://plato.stanford.edu/entries/shared-agency/,,Knowledge
