title,hits,artist_name,debut_rank,peak_date,peak_rank,peak_weeks,weeks_on_chart,tip_peak_rank
Let It Be,17193034,The Beatles,6,1970-04-11,1,2,14,1
Yesterday,12934310,The Beatles,45,1965-10-09,1,4,11,1
Hey Jude,12579267,The Beatles,10,1968-09-28,1,9,19,1
Blackbird,11099661,The Beatles,100,,100,0,0,Unranked
If I Fell,10964905,The Beatles,92,1964-09-05,53,0,9,53
While My Guitar Gently Weeps,5931822,The Beatles,100,,100,0,0,Unranked
Here Comes The Sun,5078244,The Beatles,100,,100,0,0,Unranked
Come Together,4650220,The Beatles,23,1969-11-29,1,1,16,1
All My Loving,4502518,The Beatles,71,1964-04-25,45,0,6,45
In My Life,4215780,The Beatles,100,,100,0,0,Unranked
Something,3638510,The Beatles,20,1969-11-15,3,0,6,3
I Want To Hold Your Hand,3444311,The Beatles,45,1964-02-01,1,7,15,1
Help,3372639,The Beatles,100,,100,0,0,Unranked
Twist And Shout,3257284,The Beatles,55,1964-04-04,2,0,26,2
Get Back,3179210,The Beatles With Billy Preston,10,1969-05-24,1,5,12,1
Across The Universe,2994987,The Beatles,100,,100,0,0,Unranked
Michelle,2790383,The Beatles,100,,100,0,0,Unranked
And I Love Her,2727354,The Beatles,80,1964-09-05,12,0,9,12
A Day In The Life,2679681,The Beatles,100,,100,0,0,Unranked
Day Tripper,2586682,The Beatles,56,1966-01-22,5,0,10,5
Norwegian Wood,2489006,The Beatles,100,,100,0,0,Unranked
Girl,2420784,The Beatles,100,,100,0,0,Unranked
Dont Let Me Down,2348860,The Beatles,100,,100,0,0,Unranked
All You Need Is Love,2100977,The Beatles,71,1967-08-19,1,1,11,1
Youve Got To Hide Your Love Away,2050039,The Beatles,100,,100,0,0,Unranked
Strawberry Fields Forever,2039935,The Beatles,83,1967-04-01,8,0,9,8
A Hard Days Night,1927299,The Beatles,100,,100,0,0,Unranked
I Saw Her Standing There,1866350,The Beatles,68,1964-03-21,14,0,11,14
Ive Just Seen A Face,1767897,The Beatles,100,,100,0,0,Unranked
Lucy In The Sky With Diamonds,1763942,The Beatles,100,,100,0,0,Unranked
With A Little Help From My Friends,1725881,The Beatles,87,1978-09-30,71,0,7,71
I Will,1655936,The Beatles,100,,100,0,0,Unranked
Oh Darling,1628172,The Beatles,100,,100,0,0,Unranked
Yellow Submarine,1543797,The Beatles,52,1966-09-17,2,0,9,2
Eight Days A Week,1497029,The Beatles,53,1965-03-13,1,2,10,1
Revolution,1406681,The Beatles,38,1968-09-21,12,0,11,12
Ticket To Ride,1319669,The Beatles,59,1965-05-22,1,1,11,1
Love Me Do,1280178,The Beatles,81,1964-05-30,1,1,14,1
Cant Buy Me Love,1267407,The Beatles,100,,100,0,0,Unranked
Till There Was You,1223488,The Beatles,100,,100,0,0,Unranked
She Loves You,1222090,The Beatles,69,1964-03-21,1,2,15,1
Eleanor Rigby,1217991,The Beatles,65,1966-09-24,11,0,8,11
I Feel Fine,1183352,The Beatles,22,1964-12-26,1,3,11,1
Dear Prudence,1177624,The Beatles,100,,100,0,0,Unranked
Sgt Peppers Lonely Hearts Club Band,1163849,The Beatles,100,,100,0,0,Unranked
Nowhere Man,1128676,The Beatles,25,1966-03-26,3,0,9,3
I Am The Walrus,1083976,The Beatles,64,1967-12-23,56,0,4,56
Here There And Everywhere,1083133,The Beatles,100,,100,0,0,Unranked
Helter Skelter,1046843,The Beatles,100,,100,0,0,Unranked
Ob-La-Di Ob-La-Da,1007684,The Beatles,100,,100,0,0,Unranked
