title,artist_name,debut_rank,peak_date,peak_rank,peak_weeks,weeks_on_chart,tab_hits
Let It Be,The Beatles,6,1970-04-11,1,2,14,17193034
Yesterday,The Beatles,45,1965-10-09,1,4,11,12934310
Hey Jude,The Beatles,10,1968-09-28,1,9,19,12579267
If I Fell,The Beatles,92,1964-09-05,53,0,9,10964905
Come Together,The Beatles,23,1969-11-29,1,1,16,4650220
All My Loving,The Beatles,71,1964-04-25,45,0,6,4502518
Something,The Beatles,20,1969-11-15,3,0,6,3638510
I Want To Hold Your Hand,The Beatles,45,1964-02-01,1,7,15,3444311
Twist And Shout,The Beatles,55,1964-04-04,2,0,26,3257284
Get Back,The Beatles With Billy Preston,10,1969-05-24,1,5,12,3179210
And I Love Her,The Beatles,80,1964-09-05,12,0,9,2727354
Day Tripper,The Beatles,56,1966-01-22,5,0,10,2586682
All You Need Is Love,The Beatles,71,1967-08-19,1,1,11,2100977
Strawberry Fields Forever,The Beatles,83,1967-04-01,8,0,9,2039935
I Saw Her Standing There,The Beatles,68,1964-03-21,14,0,11,1866350
With A Little Help From My Friends,The Beatles,87,1978-09-30,71,0,7,1725881
Yellow Submarine,The Beatles,52,1966-09-17,2,0,9,1543797
Eight Days A Week,The Beatles,53,1965-03-13,1,2,10,1497029
Revolution,The Beatles,38,1968-09-21,12,0,11,1406681
Ticket To Ride,The Beatles,59,1965-05-22,1,1,11,1319669
Love Me Do,The Beatles,81,1964-05-30,1,1,14,1280178
She Loves You,The Beatles,69,1964-03-21,1,2,15,1222090
Eleanor Rigby,The Beatles,65,1966-09-24,11,0,8,1217991
I Feel Fine,The Beatles,22,1964-12-26,1,3,11,1183352
Nowhere Man,The Beatles,25,1966-03-26,3,0,9,1128676
I Am The Walrus,The Beatles,64,1967-12-23,56,0,4,1083976
From Me To You,The Beatles,86,1964-04-04,41,0,6,985271
Hello Goodbye,The Beatles,45,1967-12-30,1,3,11,907803
Do You Want To Know A Secret,The Beatles,78,1964-05-09,2,0,11,805961
Penny Lane,The Beatles,85,1967-03-18,1,1,10,790480
We Can Work It Out,The Beatles,36,1966-01-08,1,3,12,743456
Please Please Me,The Beatles,68,1964-03-14,3,0,13,736452
Lady Madonna,The Beatles,23,1968-04-20,4,0,11,662903
I Should Have Known Better,The Beatles,75,1964-08-15,53,0,4,636833
The Long And Winding Road,The Beatles,35,1970-06-13,1,2,10,586093
Real Love,The Beatles,11,1996-03-23,11,0,7,571369
Paperback Writer,The Beatles,28,1966-06-25,1,2,10,516263
Free As A Bird,The Beatles,10,1996-01-06,6,0,11,387679
Act Naturally,The Beatles,87,1965-10-23,47,0,7,271316
Rain,The Beatles,72,1966-07-09,23,0,7,240992
Got To Get You Into My Life,The Beatles,54,1976-07-24,7,0,16,212856
Roll Over Beethoven,The Beatles,79,1964-04-04,68,0,4,187569
Yes It Is,The Beatles,71,1965-05-15,46,0,4,141064
The Ballad Of John And Yoko,The Beatles,71,1969-07-12,8,0,9,113040
For You Blue,The Beatles,35,1970-06-13,1,2,10,111144
What Goes On,The Beatles,89,1966-03-19,81,0,2,64491
Slow Down,The Beatles,99,1964-10-10,25,0,7,48294
Thank You Girl,The Beatles,79,1964-05-09,35,0,7,40824
Matchbox,The Beatles,81,1964-10-17,17,0,8,25042
The Inner Light,The Beatles,96,1968-03-30,96,0,1,2759
Why,The Beatles With Tony Sheridan,88,1964-04-18,88,0,1,148
