code,metrics,index_score
AUS,Number of conference papers Percapita scaled,38.69002573
AUT,Number of conference papers Percapita scaled,23.08158014
BEL,Number of conference papers Percapita scaled,21.85182382
BRA,Number of conference papers Percapita scaled,2.308158014
CAN,Number of conference papers Percapita scaled,31.68987438
CHN,Number of conference papers Percapita scaled,4.890646284
DNK,Number of conference papers Percapita scaled,26.20326926
FIN,Number of conference papers Percapita scaled,43.89284093
FRA,Number of conference papers Percapita scaled,16.08142879
DEU,Number of conference papers Percapita scaled,22.41940366
IND,Number of conference papers Percapita scaled,0.24595126399999998
IRL,Number of conference papers Percapita scaled,34.62237021
ISR,Number of conference papers Percapita scaled,29.1357651
ITA,Number of conference papers Percapita scaled,13.43272287
JPN,Number of conference papers Percapita scaled,16.27062207
NLD,Number of conference papers Percapita scaled,21.18964734
NOR,Number of conference papers Percapita scaled,28.56818526
PRT,Number of conference papers Percapita scaled,28.37899198
RUS,Number of conference papers Percapita scaled,0.359467232
SGP,Number of conference papers Percapita scaled,86.74511881
ZAF,Number of conference papers Percapita scaled,0.24595126399999998
ESP,Number of conference papers Percapita scaled,15.23005903
SWE,Number of conference papers Percapita scaled,22.60859694
CHE,Number of conference papers Percapita scaled,52.21734524
ARE,Number of conference papers Percapita scaled,8.797487513
GBR,Number of conference papers Percapita scaled,27.62221886
USA,Number of conference papers Percapita scaled,31.68987438
AUS,Number of journal papers Percapita scaled,65.03608661
AUT,Number of journal papers Percapita scaled,29.10986367
BEL,Number of journal papers Percapita scaled,37.44987971
BRA,Number of journal papers Percapita scaled,1.635926223
CAN,Number of journal papers Percapita scaled,48.67682438
CHN,Number of journal papers Percapita scaled,9.847634322000001
DNK,Number of journal papers Percapita scaled,42.58219727
FIN,Number of journal papers Percapita scaled,48.8372093
FRA,Number of journal papers Percapita scaled,19.64715317
DEU,Number of journal papers Percapita scaled,23.97754611
IND,Number of journal papers Percapita scaled,1.1708099440000002
IRL,Number of journal papers Percapita scaled,34.72333601
ISR,Number of journal papers Percapita scaled,39.21411387
ITA,Number of journal papers Percapita scaled,18.68484362
JPN,Number of journal papers Percapita scaled,15.797915
NLD,Number of journal papers Percapita scaled,45.78989575
NOR,Number of journal papers Percapita scaled,34.24218123
PRT,Number of journal papers Percapita scaled,27.82678428
RUS,Number of journal papers Percapita scaled,1.555733761
SGP,Number of journal papers Percapita scaled,100.0
ZAF,Number of journal papers Percapita scaled,0.304731355
ESP,Number of journal papers Percapita scaled,30.71371291
SWE,Number of journal papers Percapita scaled,35.68564555
CHE,Number of journal papers Percapita scaled,67.76263031
ARE,Number of journal papers Percapita scaled,9.879711307
GBR,Number of journal papers Percapita scaled,48.35605453
USA,Number of journal papers Percapita scaled,38.89334403
AUS,Number of Deep Learning papers Percapita scaled,43.07036728
AUT,Number of Deep Learning papers Percapita scaled,20.97490587
BEL,Number of Deep Learning papers Percapita scaled,8.82803869
BRA,Number of Deep Learning papers Percapita scaled,0.623971321
CAN,Number of Deep Learning papers Percapita scaled,23.90593646
CHN,Number of Deep Learning papers Percapita scaled,2.994160485
DNK,Number of Deep Learning papers Percapita scaled,15.98651726
FIN,Number of Deep Learning papers Percapita scaled,6.066106013
FRA,Number of Deep Learning papers Percapita scaled,9.532613352
DEU,Number of Deep Learning papers Percapita scaled,16.97292179
IND,Number of Deep Learning papers Percapita scaled,0.330868261
IRL,Number of Deep Learning papers Percapita scaled,16.80382387
ISR,Number of Deep Learning papers Percapita scaled,38.56108944
ITA,Number of Deep Learning papers Percapita scaled,10.01172412
JPN,Number of Deep Learning papers Percapita scaled,6.037923027000001
NLD,Number of Deep Learning papers Percapita scaled,22.69406805
NOR,Number of Deep Learning papers Percapita scaled,12.68910784
PRT,Number of Deep Learning papers Percapita scaled,4.065113972
RUS,Number of Deep Learning papers Percapita scaled,0.73106667
